Year,Y,C,I,G,X,M,Rate,FX,NX,Domestic_Demand,GDP_Expenditure,GDP_Identity_Residual,GDP_Identity_Residual_Abs,GDP_Identity_Error_Pct,GDP_Identity_Status,Data_Quality_Status,GDP_Growth_Pct,C_Growth_Pct,I_Growth_Pct,G_Growth_Pct,X_Growth_Pct,M_Growth_Pct,NX_Growth_Pct,Domestic_Demand_Growth_Pct,Consumption_Share_Pct,Investment_Share_Pct,Government_Share_Pct,Net_Exports_Share_Pct,C_Change,I_Change,G_Change,NX_Change,C_Contribution_Ppt,I_Contribution_Ppt,G_Contribution_Ppt,NX_Contribution_Ppt,Domestic_Demand_Change,Domestic_Demand_Contribution_Ppt,Component_Growth_Contribution_Ppt,GDP_Identity_Reconciliation_Change,GDP_Identity_Reconciliation_Contribution_Ppt,Reconciled_GDP_Growth_Ppt,Growth_Decomposition_Residual,Growth_Decomposition_Status,GDP_Contraction,GDP_Expansion,GDP_Stagnation,Growth_Regime,Two_Period_Contraction,GDP_Growth_Change_Ppt,GDP_Momentum,GDP_Regime,GDP_Growth_Strength,Consumption_Growth_Pct,Consumption_Growth_Change_Ppt,Investment_Growth_Pct,Investment_Growth_Change_Ppt,Government_Growth_Pct,Government_Growth_Change_Ppt,Exports_Growth_Pct,Exports_Growth_Change_Ppt,Imports_Growth_Pct,Imports_Growth_Change_Ppt,Net_Exports_Growth_Pct,Net_Exports_Growth_Change_Ppt,Domestic_Demand_Growth_Change_Ppt,Exports_Share_Pct,Imports_Share_Pct,Domestic_Demand_Share_Pct,Interest_Rate_Change_Ppt,Interest_Rate_Direction,Financial_Conditions_Regime,FX_Change,FX_Change_Pct,FX_Momentum,FX_Volatility,Domestic_Demand_Momentum_Ppt,Domestic_Demand_Regime,Trade_Balance,Trade_Balance_Share_Pct,Export_Import_Coverage_Ratio,External_Sector_Regime,GDP_Growth_Volatility,Domestic_Demand_Growth_Volatility,Investment_Growth_Volatility,Macro_Regime,GDP_Expenditure_Calculated,GDP_Identity_Residual_Dashboard,GDP_Identity_Error_Pct_Dashboard,GDP_Identity_Status_Dashboard
2015,1000,600,200,220,300,320,0.5,1.45,-20,1020,1000,0,0,0.0,PASS,PASS,,,,,,,,,60.0,20.0,22.0,-2.0,,,,,,,,,,,,,,,,BASE YEAR,False,False,False,BASE YEAR,False,,STABLE,BASE YEAR,BASE YEAR,,,,,,,,,,,,,,30.0,32.0,102.0,,UNCHANGED,NEUTRAL,,,STABLE,,,BASE YEAR,-20,-2.0,0.9375,NET EXPORT DEFICIT,,,,MIXED / TRANSITION,1000,0,0.0,PASS
2016,1020,610,205,222,310,327,0.5,1.35,-17,1037,1020,0,0,0.0,PASS,PASS,2.0000000000000018,1.6666666666666607,2.499999999999991,0.9090909090909038,3.3333333333333437,2.187500000000009,-15.000000000000002,1.6666666666666607,59.80392156862745,20.098039215686274,21.764705882352942,-1.6666666666666667,10.0,5.0,2.0,3.0,1.0,0.5,0.2,0.3,17.0,1.7000000000000002,2.0,0.0,0.0,2.0,1.7763568394002505e-15,PASS,False,True,False,EXPANSION,False,,STABLE,EXPANSION,STRONG GROWTH,1.6666666666666607,,2.499999999999991,,0.9090909090909038,,3.3333333333333437,,2.187500000000009,,-15.000000000000002,,,30.392156862745097,32.05882352941177,101.66666666666666,0.0,UNCHANGED,NEUTRAL,-0.09999999999999987,-6.896551724137923,DEPRECIATION,,,EXPANSION,-17,-1.6666666666666667,0.9480122324159022,NET EXPORT DEFICIT,,,,BROAD EXPANSION,1020,0,0.0,PASS
2017,1045,620,215,225,325,335,0.25,1.29,-10,1060,1050,-5,5,-0.4784688995215311,PASS,PASS,2.450980392156854,1.6393442622950838,4.878048780487809,1.3513513513513598,4.8387096774193505,2.4464831804281273,-41.17647058823529,2.2179363548698205,59.33014354066985,20.574162679425836,21.5311004784689,-0.9569377990430622,10.0,10.0,3.0,7.0,0.9803921568627451,0.9803921568627451,0.29411764705882354,0.6862745098039216,23.0,2.2549019607843137,2.9411764705882355,-5.0,-0.49019607843137253,2.450980392156863,-8.881784197001252e-15,PASS,False,True,False,EXPANSION,False,0.45098039215685226,STABLE,EXPANSION,STRONG GROWTH,1.6393442622950838,-0.027322404371576958,4.878048780487809,2.378048780487818,1.3513513513513598,0.4422604422604559,4.8387096774193505,1.5053763440860068,2.4464831804281273,0.2589831804281184,-41.17647058823529,-26.17647058823529,0.5512696882031598,31.100478468899524,32.057416267942585,101.43540669856459,-0.25,EASING,MILD EASING,-0.06000000000000005,-4.444444444444451,DEPRECIATION,1.7339016856681522,0.5512696882031598,EXPANSION,-10,-0.9569377990430622,0.9701492537313433,NET EXPORT DEFICIT,0.3188912934762787,0.389806534791048,1.6815344186753358,EXPANSION WITH EASING,1050,5,0.4784688995215311,PASS
2018,1060,628,220,228,330,345,0.75,1.33,-15,1076,1061,-1,1,-0.09433962264150944,PASS,PASS,1.4354066985645897,1.2903225806451646,2.3255813953488413,1.333333333333342,1.538461538461533,2.9850746268656803,50.0,1.5094339622641506,59.24528301886792,20.754716981132077,21.50943396226415,-1.4150943396226416,8.0,5.0,3.0,-5.0,0.7655502392344498,0.4784688995215311,0.28708133971291866,-0.4784688995215311,16.0,1.5311004784688995,1.0526315789473684,4.0,0.3827751196172249,1.4354066985645932,-3.552713678800501e-15,PASS,False,True,False,EXPANSION,False,-1.0155736935922643,DECELERATING,EXPANSION,MODERATE GROWTH,1.2903225806451646,-0.3490216816499192,2.3255813953488413,-2.552467385138968,1.333333333333342,-0.018018018018017834,1.538461538461533,-3.3002481389578175,2.9850746268656803,0.538591446437553,50.0,91.17647058823529,-0.7085023926056699,31.132075471698112,32.54716981132076,101.50943396226415,0.5,TIGHTENING,MILD TIGHTENING,0.040000000000000036,3.100775193798455,APPRECIATION,5.210401696039494,-0.7085023926056699,EXPANSION,-15,-1.4150943396226416,0.9565217391304348,NET EXPORT DEFICIT,0.5088449071593951,0.37206541378125413,1.4259866528259308,EXPANSION WITH TIGHTENING,1061,1,0.09433962264150944,PASS
2019,1075,635,218,230,335,343,0.75,1.28,-8,1083,1075,0,0,0.0,PASS,PASS,1.4150943396226356,1.1146496815286566,-0.9090909090909038,0.8771929824561431,1.5151515151515138,-0.5797101449275366,-46.666666666666664,0.6505576208178487,59.06976744186046,20.27906976744186,21.3953488372093,-0.7441860465116279,7.0,-2.0,2.0,7.0,0.6603773584905661,-0.18867924528301888,0.18867924528301888,0.6603773584905661,7.0,0.6603773584905661,1.3207547169811322,1.0,0.09433962264150944,1.4150943396226416,-5.995204332975845e-15,PASS,False,True,False,EXPANSION,False,-0.020312358941954045,STABLE,EXPANSION,MODERATE GROWTH,1.1146496815286566,-0.17567289911650796,-0.9090909090909038,-3.234672304439745,0.8771929824561431,-0.45614035087719884,1.5151515151515138,-0.02331002331001919,-0.5797101449275366,-3.564784771793217,-46.666666666666664,-96.66666666666666,-0.8588763414463019,31.16279069767442,31.906976744186043,100.74418604651163,0.0,UNCHANGED,NEUTRAL,-0.050000000000000044,-3.759398496240607,DEPRECIATION,4.172561371587423,-0.8588763414463019,EXPANSION,-8,-0.7441860465116279,0.9766763848396501,NET EXPORT DEFICIT,0.5922924999352581,0.784890683065961,2.900263794209212,BROAD EXPANSION,1075,0,0.0,PASS
2020,980,580,190,235,290,315,0.1,1.28,-25,1005,980,0,0,0.0,PASS,PASS,-8.837209302325578,-8.661417322834641,-12.844036697247708,2.1739130434782705,-13.432835820895528,-8.163265306122447,212.5,-7.202216066481992,59.183673469387756,19.387755102040817,23.97959183673469,-2.5510204081632653,-55.0,-28.0,5.0,-17.0,-5.116279069767442,-2.604651162790698,0.46511627906976744,-1.5813953488372092,-78.0,-7.255813953488372,-8.837209302325581,0.0,0.0,-8.837209302325581,3.552713678800501e-15,PASS,True,False,False,CONTRACTION,False,-10.252303641948213,DECELERATING,CONTRACTION,NEGATIVE GROWTH,-8.661417322834641,-9.776067004363298,-12.844036697247708,-11.934945788156803,2.1739130434782705,1.2967200610221274,-13.432835820895528,-14.947987336047042,-8.163265306122447,-7.58355516119491,212.5,259.1666666666667,-7.852773687299841,29.591836734693878,32.142857142857146,102.55102040816327,-0.65,EASING,STRONG EASING,0.0,0.0,STABLE,3.435352163255759,-7.852773687299841,CONTRACTION,-25,-2.5510204081632653,0.9206349206349206,NET EXPORT DEFICIT,5.925042644858841,4.800982006791208,7.989820074721999,BROAD CONTRACTION,980,0,0.0,PASS
2021,1015,600,205,240,320,350,0.1,1.38,-30,1045,1015,0,0,0.0,PASS,PASS,3.571428571428581,3.4482758620689724,7.8947368421052655,2.127659574468077,10.344827586206895,11.111111111111116,19.999999999999996,3.9800995024875663,59.11330049261084,20.19704433497537,23.645320197044335,-2.955665024630542,20.0,15.0,5.0,-5.0,2.0408163265306123,1.530612244897959,0.5102040816326531,-0.5102040816326531,40.0,4.081632653061225,3.5714285714285716,0.0,0.0,3.5714285714285716,9.325873406851315e-15,PASS,False,True,False,EXPANSION,False,12.40863787375416,ACCELERATING,EXPANSION,STRONG GROWTH,3.4482758620689724,12.109693184903612,7.8947368421052655,20.738773539352973,2.127659574468077,-0.04625346901019345,10.344827586206895,23.777663407102423,11.111111111111116,19.27437641723356,19.999999999999996,-192.5,11.182315568969559,31.527093596059114,34.48275862068966,102.95566502463053,0.0,UNCHANGED,NEUTRAL,0.09999999999999987,7.8125,APPRECIATION,5.903065137576576,11.182315568969559,EXPANSION,-30,-2.955665024630542,0.9142857142857143,NET EXPORT DEFICIT,6.629904488602242,5.741603800474807,10.408706627590998,BROAD EXPANSION,1015,0,0.0,PASS
2022,1040,615,210,245,335,365,1.0,1.17,-30,1070,1040,0,0,0.0,PASS,PASS,2.4630541871921263,2.499999999999991,2.4390243902439046,2.083333333333326,4.6875,4.285714285714293,0.0,2.392344497607657,59.13461538461539,20.192307692307693,23.557692307692307,-2.8846153846153846,15.0,5.0,5.0,0.0,1.477832512315271,0.49261083743842365,0.49261083743842365,0.0,25.0,2.4630541871921183,2.4630541871921183,0.0,0.0,2.4630541871921183,7.993605777301127e-15,PASS,False,True,False,EXPANSION,False,-1.1083743842364546,DECELERATING,EXPANSION,STRONG GROWTH,2.499999999999991,-0.9482758620689813,2.4390243902439046,-5.455712451861361,2.083333333333326,-0.04432624113475114,4.6875,-5.657327586206895,4.285714285714293,-6.825396825396823,0.0,-19.999999999999996,-1.5877550048799094,32.21153846153847,35.09615384615385,102.88461538461537,0.9,TIGHTENING,STRONG TIGHTENING,-0.20999999999999996,-15.217391304347828,DEPRECIATION,11.711675427038017,-1.5877550048799094,EXPANSION,-30,-2.8846153846153846,0.9178082191780822,NET EXPORT DEFICIT,6.866570500015814,6.050079060881829,10.75045334298328,EXPANSION WITH TIGHTENING,1040,0,0.0,PASS
2023,1055,620,215,250,340,370,5.0,1.15,-30,1085,1055,0,0,0.0,PASS,PASS,1.4423076923076872,0.8130081300812941,2.3809523809523725,2.0408163265306145,1.4925373134328401,1.3698630136986356,0.0,1.4018691588784993,58.767772511848335,20.379146919431278,23.696682464454977,-2.843601895734597,5.0,5.0,5.0,0.0,0.4807692307692308,0.4807692307692308,0.4807692307692308,0.0,15.0,1.4423076923076923,1.4423076923076923,0.0,0.0,1.4423076923076923,-5.10702591327572e-15,PASS,False,True,False,EXPANSION,False,-1.0207464948844391,DECELERATING,EXPANSION,MODERATE GROWTH,0.8130081300812941,-1.686991869918697,2.3809523809523725,-0.05807200929153211,2.0408163265306145,-0.04251700680271142,1.4925373134328401,-3.19496268656716,1.3698630136986356,-2.915851272015657,0.0,0.0,-0.9904753387291576,32.22748815165877,35.07109004739337,102.84360189573461,4.0,TIGHTENING,STRONG TIGHTENING,-0.020000000000000018,-1.7094017094017144,DEPRECIATION,11.572296578112427,-0.9904753387291576,EXPANSION,-30,-2.843601895734597,0.918918918918919,NET EXPORT DEFICIT,1.064860937740928,1.3005946753221758,3.1667541163287174,EXPANSION WITH TIGHTENING,1055,0,0.0,PASS
2024,1070,630,220,255,350,375,5.0,1.18,-25,1105,1080,-10,10,-0.9345794392523363,MINOR DISCREPANCY,PASS,1.4218009478673022,1.6129032258064502,2.3255813953488413,2.0000000000000018,2.941176470588225,1.3513513513513598,-16.666666666666664,1.8433179723502224,58.87850467289719,20.5607476635514,23.83177570093458,-2.336448598130841,10.0,5.0,5.0,5.0,0.9478672985781991,0.47393364928909953,0.47393364928909953,0.47393364928909953,20.0,1.8957345971563981,2.3696682464454977,-10.0,-0.9478672985781991,1.4218009478672986,3.552713678800501e-15,PASS,False,True,False,EXPANSION,False,-0.020506744440385027,STABLE,EXPANSION,MODERATE GROWTH,1.6129032258064502,0.799895095725156,2.3255813953488413,-0.05537098560353115,2.0000000000000018,-0.040816326530612734,2.941176470588225,1.4486391571553847,1.3513513513513598,-0.01851166234727586,-16.666666666666664,-16.666666666666664,0.44144881347172316,32.71028037383177,35.046728971962615,103.27102803738318,0.0,UNCHANGED,NEUTRAL,0.030000000000000027,2.60869565217392,APPRECIATION,9.299472421439596,0.44144881347172316,EXPANSION,-25,-2.336448598130841,0.9333333333333333,NET EXPORT DEFICIT,0.5953363533598538,0.4962104017757132,0.056726856368259304,BROAD EXPANSION,1080,10,0.9345794392523363,MINOR DISCREPANCY
